73->,-0.5,-0.125,-0.5,-0.125,0.863636364
147->,0.75,-0.5,0.5,0,0.590909091
176->,0.25,-0.75,0,-0.75,0.590909091
235->,0.5,0,0.5,0,0.590909091
236->,0,-0.25,0,-0.25,0.590909091
267->,0.375,0,0.375,0.25,0.590909091
268->,0,-0.5,0.25,-0.5,0.590909091
301->,0,0,0,0,0.590909091
333->,0.875,0.875,0.875,0.875,0.590909091
354->,-0.25,0.875,0,0.75,0.681818182
355->,0.875,0.5,0.75,0.5,0.681818182
385->,0,0,-0.125,-0.25,0.681818182
386->,0,-0.375,-0.25,-0.75,0.681818182
387->,-0.375,-0.5,-0.75,-0.5,0.590909091
418->,0.25,0,0.25,0.5,0.590909091
422->,0.25,-0.75,0,-0.75,0.318181818
423->,-0.75,-0.25,-0.75,0,0.681818182
424->,-0.25,0,0,-0.125,0.681818182
452->,-0.5,0,0,-0.5,0.681818182
454->,0.125,0.5,0.25,0.5,0.772727273
455->,0.5,-0.5,0.5,0,0.045454545
456->,-0.5,-0.875,0,-0.75,0.681818182
484->,0.5,0.25,0,0.875,0.772727273
485->,0.25,0,0.875,0.125,0.045454545
486->,0,0,0.125,0,0.681818182
487->,0,0.5,0,0,0.681818182
488->,0.5,0,0,0,0.681818182
515->,0.25,-0.5,0.25,-0.5,0.863636364
516->,-0.5,0.125,-0.5,-0.875,0.863636364
517->,0.125,-0.875,-0.875,-0.875,0.772727273
518->,-0.875,0,-0.875,-0.5,0.772727273
519->,0,0,-0.5,0,0.772727273
778->,0,0,0.5,0,0.590909091
779->,0,-0.25,0,-0.25,0.590909091
810->,0.25,0,0.375,0,0.590909091
844->,0,-0.75,0,0,0.590909091
876->,0.875,0.875,0.875,0.875,0.590909091
877->,0.875,0,0.875,-0.5,0.409090909
897->,-0.25,0.75,-0.25,0.875,0.681818182
898->,0.75,0.5,0.875,0.5,0.681818182
928->,0,0.25,0,0,0.681818182
929->,0.25,0,0,-0.375,0.681818182
930->,0,-0.5,-0.375,-0.5,0.681818182
