245->,0.125,0.25,1,1,0.25,0.25,0.25,0.25,0.125,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0,0,0.5,0.5,-0.125,0,-0.125,0,0,0,0,0,0,0,0,0,0.42768595,0.42768595,0.012396694,0.026859504,0,0,0.097107438,0.008264463,0,0,0,0
266->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917355372,0,0,0,0,0,0.082644628,0,0,0,0,0
273->,0.125,0,0,0,0.125,0,1,0,0.125,0,0,0,0.25,0,0.125,0.125,0,0,0,0,0.125,0,0.125,0,-0.125,0,0.875,-0.125,-0.875,0,0.25,0,0.553719008,0.231404959,0,0,0,0,0.214876033,0,0,0,0,0
279->,0,0,0.125,0.25,0.125,0,0.25,0.25,0,0,0.125,0.25,0,0,0.5,0.125,0,0,0,0,0,-0.125,0,-0.125,0.125,0,-0.25,0.125,-0.125,-0.25,0,0.375,0.82231405,0.144628099,0,0,0,0,0.033057851,0,0,0,0,0
298->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694214876,0,0,0,0,0,0.305785124,0,0,0,0,0
305->,0,0,0,0.125,0,0,0,0.25,0,0,0,0.125,0,0,0.125,0.25,0,0,0,0,0,-0.125,0,-0.125,0,0,-0.125,0,0,-0.25,0,-0.125,0.814049587,0,0,0,0,0,0.185950413,0,0,0,0,0
896->,0,0,0.125,0.5,0.125,0,0.125,0.125,0,0,0.25,0.25,0.125,0,0.25,0.25,0,0,-0.125,0.25,0,-0.375,0,0,0,0,-0.125,-0.125,0,-0.125,0.125,0,0.520661157,0.196280992,0.095041322,0.045454545,0,0,0.140495868,0.002066116,0,0,0,0
1041->,0.125,0,0.25,0.5,0.5,0,0.5,0.5,0.125,0,0.25,0.25,0,0,0.5,0.5,0,0,0,0.25,0.125,-0.25,0.125,0,0.5,0,0,0,0,-0.5,0,0,0.803719008,0.02892562,0.002066116,0.002066116,0,0,0.097107438,0.012396694,0.049586777,0.004132231,0,0
1199->,1,1,0,0.5,0.5,1,0,0.25,1,0.125,1,0.25,0.5,0.125,0,0.125,0,0.875,-1,0.25,0,-0.5,0.875,0.75,0,0.875,0,0.125,0.5,0.75,0.375,-0.125,0.597107438,0.200413223,0,0,0,0,0.202479339,0,0,0,0,0
1802->,0,0,0.25,0.25,0.125,0.125,0.125,0.5,0,0,0,1,0.125,0,0,0.5,0,0,0.25,-0.75,0,0,0,-1,0,0.125,0.125,0,0,-0.375,0.125,-0.5,0.688016529,0.010330579,0,0,0,0,0.301652893,0,0,0,0,0
1928->,0,0,0,0,0,0,0.125,0,0,0,0.125,0,0,0,0.125,0,0,0,-0.125,0,0,0,0,0.125,0,0,0,0,-0.125,0,0,0.125,0.923553719,0.002066116,0,0,0,0,0.074380165,0,0,0,0,0
1931->,0.125,0,0,0,0.125,0,0.125,0,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0.125,0,0,0,0.125,0,0.580578512,0.402892562,0,0,0,0,0.016528926,0,0,0,0,0
1941->,1,0.125,0.125,0.25,0.25,0,0.125,0.25,0.125,0,0.125,0.25,0,0,0.125,0.5,0.875,0.125,0,0,0.875,-0.125,0.125,-0.125,0.25,0,0,-0.25,0.125,-0.25,0,-0.375,0.857438017,0,0,0,0,0,0.142561983,0,0,0,0,0
2031->,0,0.25,1,0.25,0,0.125,0.5,0.25,0,0.5,0.5,1,0,0.25,1,1,0,-0.25,0.5,-0.75,-0.25,0.75,-0.5,-0.5,0,-0.125,-0.5,-0.75,-0.5,-0.125,-0.25,0,0.475206612,0.239669421,0.012396694,0,0,0,0.161157025,0.008264463,0.051652893,0.047520661,0.004132231,0
2054->,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,-0.125,0,0.345041322,0.002066116,0,0,0,0,0.640495868,0.012396694,0,0,0,0
2066->,0.125,0.125,1,0,0.25,0.125,1,0,0.125,0.125,1,1,0.125,0.125,1,0.125,0,0,0,-1,0,1,0,0,0.125,0,0,-0.125,-0.75,0.125,0,0.875,0.541322314,0.161157025,0.030991736,0.004132231,0,0,0.247933884,0.010330579,0.004132231,0,0,0
2198->,0.25,0,0.125,0.125,0.25,0.125,0.125,0.125,0.25,0,0.125,0,0.25,0,0.125,0,0,0,0,0.125,0.25,0,0.25,0.125,0,0.125,0,0.125,0.125,0,0.25,0.125,0.384297521,0.030991736,0,0,0,0,0.566115702,0.018595041,0,0,0,0
2205->,0.125,0.125,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0.152892562,0.030991736,0,0,0,0,0.754132231,0.061983471,0,0,0,0
2206->,0,0,0.125,0,0.125,0.125,0.125,0,0,0,0.125,0,0.125,0,0.125,0,0,0,0,0,0,0.125,0,0.125,0,0.125,0,0,0,0.125,0.125,0.125,0.134297521,0.008264463,0,0,0,0,0.857438017,0,0,0,0,0
2830->,0,0,0,1,0,0,0,0.5,0,0,0,1,0,0,0.125,0.5,0,0,0,0,0,-1,0,-1,0,0,-0.125,0,0,-0.5,0,-0.375,0.396694215,0.533057851,0,0,0,0,0.070247934,0,0,0,0,0
3233->,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0.125,0.125,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.433884298,0.126033058,0.010330579,0,0,0,0.429752066,0,0,0,0,0
3405->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652892562,0.035123967,0,0,0,0,0.311983471,0,0,0,0,0
3612->,0.125,0.125,0,0,0.125,0.25,0,0,0.125,0.125,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.125,0.25,0,0,0.580578512,0.080578512,0.002066116,0,0,0,0.330578512,0.004132231,0.002066116,0,0,0
3629->,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0,0,0,0.125,0,0,0,0.125,0,0,0,0.479338843,0.17768595,0,0,0,0,0.342975207,0,0,0,0,0
3728->,0.125,0.125,0,0.125,0.25,0.125,0.125,0,0.125,0.125,0.125,0,0.25,0.125,0.125,0,0,0,-0.125,0.125,0,-0.125,0,0.125,0,0,0,0,0.125,0.125,0.125,0.125,0.526859504,0.142561983,0.037190083,0,0,0,0.266528926,0.024793388,0.002066116,0,0,0
3796->,0.5,0.25,1,0.5,0.25,0.25,0.5,0.125,0.5,0.5,1,0.125,0.25,0.25,1,0.125,0,-0.25,0,0.375,0.25,0.5,0,0.875,0,0,-0.5,0,-0.25,0.125,0,0.875,0.469008264,0.200413223,0.012396694,0,0,0,0.225206612,0.039256198,0.02892562,0.024793388,0,0
3848->,0.125,0,0,0.125,0.125,0.125,0.125,0.125,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0.125,-0.125,0,-0.125,0,0,0,0,0,0,0,0,0.398760331,0.549586777,0.024793388,0,0,0,0.026859504,0,0,0,0,0
4222->,0.125,0.125,0.25,0.25,0,0.125,0.25,0.25,0.125,0.125,0.25,0.5,0.125,0.25,0.25,0.5,0,0,0,-0.25,0,0,0,-0.25,-0.125,-0.125,0,-0.25,-0.25,-0.125,-0.125,-0.25,0.175619835,0.152892562,0.074380165,0.285123967,0.200413223,0.051652893,0.055785124,0.004132231,0,0,0,0
4269->,0,0.125,0,0.5,0,0.125,0,0.5,0,0.5,0,1,0,0.25,0,1,0,-0.375,0,-0.5,-0.125,-0.5,-0.5,-1,0,-0.125,0,-0.5,0,-0.375,-0.25,-1,0.599173554,0.078512397,0.04338843,0.088842975,0.107438017,0.008264463,0.04338843,0.012396694,0.018595041,0,0,0
4302->,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0.25,1,0.125,0.25,0.25,1,0.125,0.5,0.25,-0.5,0.375,0,0,0,0,0.875,0,-0.5,0.125,0,0,0,0,0.875,0.25,0.026859504,0.045454545,0,0,0,0,0.08677686,0.080578512,0.638429752,0.119834711,0.002066116,0
4303->,0.25,0.25,0.5,0,0.5,0.25,1,0,0.25,0.25,1,0,0.5,0.25,1,0.125,0,0,-0.5,0,0,0.5,0,1,0,0,0,-0.125,-0.5,0.25,0.25,0.875,0.311983471,0.082644628,0.004132231,0,0,0,0.107438017,0.035123967,0.148760331,0.309917355,0,0
4334->,0.5,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0.25,0.25,0.125,0.125,0.25,0.5,0.375,0,0,0,0.375,0,0,0,0.125,0.125,0,-0.25,0,0,0,-0.25,0.08677686,0.051652893,0,0,0,0,0.181818182,0.130165289,0.435950413,0.113636364,0,0
4335->,0.25,0.25,0,0.125,0.25,0.25,0,0.125,0.25,0.25,0,0.125,0.25,0.5,0.125,0.125,0,0,0,0,0,-0.125,0,-0.125,0,-0.25,-0.125,0,0.25,0.125,-0.25,0,0.30785124,0.157024793,0.012396694,0.004132231,0,0,0.045454545,0.024793388,0.113636364,0.334710744,0,0
4339->,0.125,0.125,0.25,0.125,0.125,0,0.25,0.125,1,0,0.25,0.125,0.25,0,0.25,0.125,-0.875,0.125,0,0,0,0.125,1,0.125,-0.125,0,0,0,-0.125,-0.125,0.25,0.125,0.25,0.247933884,0,0,0,0,0.376033058,0.103305785,0.022727273,0,0,0
4364->,0,0.125,0.125,0.5,0.125,0.25,0.125,0.25,0.25,0.25,0.25,0.125,0.25,0.5,0.5,0.125,-0.25,-0.125,-0.125,0.375,-0.125,-0.375,0,0.125,-0.125,-0.25,-0.375,0.125,0,0,-0.25,0.375,0.051652893,0.101239669,0.109504132,0.19214876,0.508264463,0.008264463,0.02892562,0,0,0,0,0
4365->,0.125,0.5,0.125,0.125,0.125,0.25,0.25,0.125,0.25,0.125,0.125,1,0.5,0.125,0.125,0,-0.125,0.375,0,-0.875,-0.375,0,0.125,-0.875,-0.375,0.125,0.125,0.125,-0.125,0.125,0.375,0.125,0.23553719,0.419421488,0.109504132,0.035123967,0.04338843,0,0.154958678,0.002066116,0,0,0,0
4367->,0.25,0.25,0.125,0.5,0.25,0.25,0.125,0.25,0.25,0.25,0.125,0.5,0.5,0.5,0.125,0.25,0,0,0,0,0,-0.375,0,-0.375,-0.25,-0.25,0,0,0.125,0,0,-0.125,0.252066116,0.07231405,0.002066116,0,0,0,0.07231405,0.012396694,0.119834711,0.45661157,0.012396694,0
4438->,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.125,0.25,0.25,0.25,0.25,0.5,0.25,0,0.125,0.25,0.25,-0.25,0,-0.125,0.25,0,0,0,0.25,-0.25,0,-0.25,0.082644628,0.082644628,0.088842975,0.208677686,0.080578512,0,0.090909091,0.030991736,0.154958678,0.179752066,0,0
4443->,0.125,0.25,0,0,0.25,0.25,0,0,0.125,0.125,0,0,0.125,0.25,0,0,0,0.125,0,0,-0.125,0,0,0,0.125,0,0,0,0.25,0.25,-0.125,0,0.338842975,0.287190083,0.026859504,0.002066116,0,0,0.179752066,0.02892562,0.080578512,0.055785124,0,0
4459->,0,0.125,0.25,0.25,0.125,0.25,0.25,0.5,0.25,0.25,0.125,0,0.25,0.5,0.125,0,-0.25,-0.125,0.125,0.25,-0.125,0,0,0.125,-0.125,-0.25,0.125,0.5,-0.125,-0.25,-0.25,0.125,0.020661157,0.167355372,0.103305785,0.185950413,0.481404959,0.02892562,0.006198347,0.006198347,0,0,0,0
2030->,0.5,0.5,0,0.25,0.25,0.25,0,0.125,1,1,0,0.5,0.5,1,0,0.25,-0.5,-0.5,0,-0.25,0,-0.25,0,-0.5,-0.25,-0.75,0,-0.125,0.25,0.125,-0.5,-0.25,0.615702479,0.274793388,0.008264463,0.01446281,0.006198347,0,0.076446281,0.004132231,0,0,0,0.045454545
3693->,1,0.5,0,0.125,0.5,0.25,0.5,0.125,0,0.25,1,0.5,0,0.125,0.5,0.5,1,0.25,-1,-0.375,0.5,-0.125,-0.25,0.5,0.5,0.125,0,-0.375,0,0.125,-0.125,0,0.621900826,0.233471074,0,0,0,0,0.144628099,0,0,0,0,0.045454545
4301->,0.125,0.125,0.5,0.5,0.125,1,0.5,0.25,0.5,0.5,1,0.125,0.25,0.25,1,0.125,-0.375,-0.375,-0.5,0.375,0,0,0,0.875,-0.125,0.75,-0.5,0.125,-0.375,0.75,0,0.875,0.030991736,0.103305785,0.061983471,0.22107438,0.431818182,0.022727273,0.049586777,0.008264463,0.070247934,0,0,0.045454545
4307->,1,0.125,0.125,0.25,1,0.125,0.125,0.25,0.125,1,0.25,0.25,0.125,0.25,0.25,0.25,0.875,-0.875,-0.125,0,0.875,-0.125,-0.875,0,0.875,-0.125,-0.125,0,0.875,-0.125,-0.125,0,0.181818182,0.227272727,0.039256198,0.01446281,0,0,0.152892562,0.123966942,0.260330579,0,0,0.045454545
4333->,0.125,0.125,0.5,0.125,1,0.125,0.25,0.25,0.5,0.25,0.125,0.125,0.25,0.5,0.125,0.125,-0.375,-0.125,0.375,0,0,0.375,0.25,0,0.75,-0.375,0.125,0.125,0.75,-0.125,-0.25,0,0.064049587,0.150826446,0.055785124,0.190082645,0.431818182,0.004132231,0.090909091,0.012396694,0,0,0,0.045454545
4491->,0.125,0.5,0.25,0.5,0.25,1,0.5,0.25,0.25,0.5,0,1,0.5,0.25,0,0.5,-0.125,0,0.25,-0.5,-0.375,-0.25,-0.25,-1,-0.25,0.75,0.5,-0.25,-0.25,0.75,0.25,-0.5,0.095041322,0.200413223,0.074380165,0.140495868,0.398760331,0.047520661,0.030991736,0.012396694,0,0,0,0.045454545
4621->,1,1,0.125,0.25,0.5,0.25,0.125,0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.5,0.5,-0.375,0,0,-0.125,0,0.25,0,0,-0.125,0,0.375,0,0.25,0,0.037190083,0.064049587,0.061983471,0.064049587,0.305785124,0.002066116,0.084710744,0.04338843,0.130165289,0.181818182,0.024793388,0.045454545
4633->,0.25,0.5,0,0.25,0.25,0.5,0,0.25,0.5,0.25,0,0.125,0.25,0.25,0,0.5,-0.25,0.25,0,0.125,-0.25,-0.25,0.25,-0.125,0,0.25,0,-0.25,0.25,0.25,0,-0.5,0.25,0.167355372,0.022727273,0,0,0,0.326446281,0.018595041,0.08677686,0.128099174,0,0.045454545
4650->,0.25,0.125,0.25,0.25,0.25,0.125,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.125,0,-0.125,0,0,0.125,0,0,0,0,-0.125,0,0.125,-0.25,-0.125,0,0.375,0.016528926,0.04338843,0.099173554,0.26446281,0.237603306,0,0.022727273,0.045454545,0.082644628,0.188016529,0,0.045454545
4653->,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5,-0.25,0,0,0.75,0,0,0,0,-0.25,0,0,0,0,-0.25,0,0.012396694,0.05785124,0.080578512,0.152892562,0.202479339,0,0.04338843,0.074380165,0.171487603,0.200413223,0.004132231,0.045454545
4684->,0,0,0.25,0.125,0.125,0,0.25,0.125,0.125,0.125,0.5,0.125,0.125,0.125,0.5,0.125,-0.125,-0.125,-0.25,0,0,0.125,0,0.375,0,-0.125,-0.25,0,-0.125,-0.125,0,0.375,0.233471074,0.340909091,0.144628099,0.165289256,0.004132231,0,0.111570248,0,0,0,0,0.045454545
4729->,0.125,0,0,0,0.25,0,0,0,0.125,0.125,0,0,0.125,0.125,0.125,0,0,-0.125,0,0,0.125,0,0,0,0.125,-0.125,-0.125,0,0.25,0,0,0.125,0.431818182,0.123966942,0,0,0,0,0.435950413,0.008264463,0,0,0,0.045454545
5196->,0.125,0.5,0.25,0.125,0.25,0.25,0.5,0.125,0.125,0.5,0.125,0.125,0.125,0.25,0.25,0.125,0,0,0.125,0,-0.375,0.125,-0.375,0,0.125,0,0.25,0,-0.25,0.125,-0.125,0.125,0.041322314,0.171487603,0.190082645,0.136363636,0.394628099,0,0.049586777,0.016528926,0,0,0,0.045454545
5276->,0.125,0,0.125,0,0.125,0,0.125,0.25,0.125,0,0.5,0.25,0.125,0,0.125,0.25,0,0,-0.375,-0.25,0.125,0.125,0.125,0.25,0,0,0,0,0,-0.25,0.125,-0.125,0.394628099,0.506198347,0.026859504,0,0,0,0.07231405,0,0,0,0,0.045454545
5290->,0,0,0.5,0.25,0.125,0.125,0.25,0.25,0,0.125,0.25,0.25,0.125,0.25,0.25,0.5,0,-0.125,0.25,0,0,0.25,-0.125,0,0,-0.125,0,-0.25,-0.125,-0.125,-0.125,-0.25,0.227272727,0.229338843,0.035123967,0.144628099,0.316115702,0.012396694,0.035123967,0,0,0,0,0.045454545
5323->,0.25,0.25,0,0.5,0.25,0.125,0,0.25,0.25,0.5,0,0.125,0.5,0.25,0,0,0,-0.25,0,0.375,0,-0.5,-0.25,-0.125,-0.25,-0.125,0,0.25,0.25,-0.125,0.25,0,0.179752066,0.202479339,0.078512397,0.138429752,0.29338843,0.047520661,0.035123967,0.022727273,0.002066116,0,0,0.045454545
