1->,0.125,0,0.125,0,0.5
2->,0,-0.125,0,-0.125,0.5
3->,-0.125,0.25,-0.125,0,0.5
4->,0.25,0,0,0,0.227272727
5->,0,-0.25,0,0,0.318181818
6->,-0.25,-0.125,0,-0.125,0.363636364
7->,-0.125,-0.125,-0.125,-0.125,0.409090909
8->,-0.125,0,-0.125,0,0.681818182
9->,0,0.125,0,0,0.681818182
10->,0.125,0,0,0,0.772727273
11->,0,0,0,0.125,0.772727273
12->,0,0.875,0.125,0.5,0.772727273
13->,0.875,0,0.5,0,0.5
14->,0,0,0,0,0.5
15->,0,0.75,0,0,0.5
16->,0.75,-0.125,0,-0.125,0.5
17->,-0.125,0,-0.125,0,0.5
18->,0,0,0,0,0.545454545
19->,0,0,0,0,0.545454545
20->,0,-0.875,0,-0.875,0.545454545
21->,-0.875,0,-0.875,0,0.5
22->,0,0,0,0,0.5
23->,0,0,0,0,0.5
24->,0,0,0,0,0.5
25->,0,0,0,0,0.5
26->,0,0,0,0,0.5
27->,0,-1,0,-1,0.5
28->,-1,0,-1,0,0.5
29->,0,0,0,0,0.5
30->,0,0,0,0,0.5
31->,0,0,0,0,0.5
32->,0,0,0,0,0.5
33->,0,-0.25,0,-0.5,0.5
34->,-0.25,-0.125,-0.5,-0.375,0.227272727
35->,-0.125,0,-0.375,0.75,0.318181818
36->,0,0.25,0.75,0.75,0.409090909
37->,0.25,0.25,0.75,0.25,0.363636364
38->,0.25,-0.25,0.25,0,0.409090909
39->,-0.25,0,0,0,0.409090909
40->,0,0.125,0,0.125,0.681818182
41->,0.125,0.125,0.125,0.25,0.636363636
42->,0.125,0.25,0.25,0.25,0.681818182
43->,0.25,0.125,0.25,0.125,0.5
44->,0.125,0,0.125,0.375,0.5
45->,0,0,0.375,0,0.5
46->,0,0,0,0,0.5
47->,0,0.125,0,0.375,0.5
48->,0.125,0.125,0.375,0.125,0.5
49->,0.125,0,0.125,0,0.5
50->,0,0,0,0,0.545454545
51->,0,0,0,0,0.545454545
52->,0,0.5,0,0.5,0.5
53->,0.5,0,0.5,0,0.5
54->,0,-0.75,0,-0.75,0.5
55->,-0.75,0.5,-0.75,0,0.5
56->,0.5,0,0,0,0.5
57->,0,0,0,0,0.5
58->,0,0,0,0,0.5
59->,0,0,0,0,0.5
60->,0,0,0,0,0.5
61->,0,0,0,0,0.5
62->,0,0,0,0,0.5
63->,0,0,0,0,0.5
64->,0,0,0,0,0.5
65->,0,0,0,0.25,0.227272727
66->,0,0,0.25,0,0.227272727
67->,0,0,0,-0.25,0.409090909
68->,0,0,-0.25,0,0.409090909
69->,0,0.125,0,0.125,0.454545455
70->,0.125,-0.5,0.125,-0.75,0.454545455
71->,-0.5,0.125,-0.75,0.125,0.409090909
72->,0.125,0.125,0.125,0,0.5
73->,0.125,-0.125,0,0,0.545454545
74->,-0.125,0,0,0,0.545454545
75->,0,0,0,0,0.545454545
76->,0,0.125,0,0.125,0.681818182
77->,0.125,0,0.125,0,0.5
78->,0,0,0,0,0.5
79->,0,0,0,0,0.454545455
80->,0,0,0,0,0.5
81->,0,0,0,0,0.5
82->,0,0,0,0,0.5
83->,0,-1,0,-0.5,0.590909091
84->,-1,0,-0.5,0,0.5
85->,0,0,0,0,0.5
86->,0,0,0,0,0.5
87->,0,-0.5,0,0,0.5
88->,-0.5,-0.125,0,0,0.5
89->,-0.125,-0.125,0,0,0.5
90->,-0.125,0,0,0,0.5
91->,0,0,0,0,0.5
92->,0,0.5,0,0,0.5
93->,0.5,-0.25,0,-0.25,0.5
94->,-0.25,0,-0.25,0,0.5
95->,0,0,0,0,0.5
96->,0,0,0,0,0.5
97->,0,0,0,-0.25,0.5
98->,0,-0.25,-0.25,-0.5,0.227272727
99->,-0.25,0,-0.5,0.25,0.409090909
100->,0,0,0.25,0,0.409090909
101->,0,-0.125,0,0,0.454545455
102->,-0.125,0,0,0,0.454545455
103->,0,0,0,-0.125,0.409090909
104->,0,0,-0.125,0.125,0.5
105->,0,0.125,0.125,0,0.545454545
106->,0.125,0,0,0,0.590909091
107->,0,0,0,0,0.5
108->,0,-0.125,0,0,0.545454545
